date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:00	8913/8913	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2005:49:12%20GMT	https://boomchart.net/kingsmen/admin	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/admin.html	(from )
23:49:02	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Aug%202019%2011:22:04%20GMT	https://boomchart.net/robots.txt		(from )
23:49:03	2743/2743	---M--	200	added ('OK')	image/png	date:Sun,%2011%20Oct%202020%2015:34:05%20GMT	https://boomchart.net/kingsmen/asset/images/favicon_1602430445.png	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/images/favicon_1602430445.png	(from https://boomchart.net/kingsmen/admin)
23:49:05	6741/6741	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2007:22:35%20GMT	https://boomchart.net/kingsmen/asset/css/toast.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/css/toast.css	(from https://boomchart.net/kingsmen/admin)
23:49:07	9015/9015	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/nucleo/css/nucleo.css	(from https://boomchart.net/kingsmen/admin)
23:49:09	55183/55183	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://boomchart.net/kingsmen/admin)
23:49:10	5222/5222	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-bs4/css/dataTables.bootstrap4.min.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-bs4/css/dataTables.bootstrap4.min.css	(from https://boomchart.net/kingsmen/admin)
23:49:12	4236/4236	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons-bs4/css/buttons.bootstrap4.min.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-buttons-bs4/css/buttons.bootstrap4.min.css	(from https://boomchart.net/kingsmen/admin)
23:49:14	4154/4154	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-select-bs4/css/select.bootstrap4.min.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/datatables.net-select-bs4/css/select.bootstrap4.min.css	(from https://boomchart.net/kingsmen/admin)
23:49:17	488088/488088	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202021%2008:50:53%20GMT	https://boomchart.net/kingsmen/asset/dashboard/css/argon.css?v=1.1.0	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/css/argon9f1e.css	(from https://boomchart.net/kingsmen/admin)
23:49:19	213221/213221	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2013:50:54%20GMT	https://boomchart.net/kingsmen/asset/fonts/fontawesome/css/all.css	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/fonts/fontawesome/css/all.css	(from https://boomchart.net/kingsmen/admin)
23:49:20	89475/89475	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Jun%202020%2007:21:26%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/jquery/dist/jquery.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/jquery/dist/jquery.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:22	78635/78635	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:24	3886/3886	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/js-cookie/js.cookie.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/js-cookie/js.cookie.js	(from https://boomchart.net/kingsmen/admin)
23:49:26	13041/13041	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/jquery.scrollbar/jquery.scrollbar.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/jquery.scrollbar/jquery.scrollbar.min.js	(from https://boomchart.net/kingsmen/admin)
23:49:27	4636/4636	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2012:52:50%20GMT	https://boomchart.net/kingsmen/asset/dashboard/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	C:/xampp/htdocs/Aaa/admin/boomchart.net/kingsmen/asset/dashboard/vendor/jquery-scroll-lock/dist/jquery-scrollLock.min.js	(from https://boomchart.net/kingsmen/admin)
